soil_type,theta_fc_max,theta_fc_min,theta_wp_max,theta_wp_min
sand,0.17,0.07,0.07,0.02
loamy sand,0.19,0.11,0.1,0.03
sandy loam,0.28,0.18,0.16,0.06
loam,0.3,0.2,0.17,0.07
silt loam,0.36,0.22,0.21,0.09
silt,0.36,0.28,0.22,0.12
silt clay loam,0.37,0.3,0.24,0.17
silty clay,0.42,0.3,0.29,0.17
clay,0.4,0.32,0.24,0.2
