year,region,industry_type,property,value,unit
2006,World,alcref,def,2.4,kg/m3
2006,World,beer,def,0.055,kg/m3
2006,World,fish,def,0.6,kg/m3
2006,World,meat,def,0.19,kg/m3
2006,World,plastics,def,0.25,kg/m3
2006,World,starch,def,0.9,kg/m3
2006,World,iron,def,0.25,kg/m3
2006,World,nfertil,def,0.5,kg/m3
2006,World,alcref,min,0.94,kg/m3
2006,World,beer,min,0.025,kg/m3
2006,World,fish,min,0.21,kg/m3
2006,World,meat,min,0.17,kg/m3
2006,World,plastics,min,0.125,kg/m3
2006,World,starch,min,0.8,kg/m3
2006,World,iron,min,0.0004,kg/m3
2006,World,nfertil,min,0.1,kg/m3
2006,World,alcref,max,3.86,kg/m3
2006,World,beer,max,0.08,kg/m3
2006,World,fish,max,0.98,kg/m3
2006,World,meat,max,0.2,kg/m3
2006,World,plastics,max,0.375,kg/m3
2006,World,starch,max,1.1,kg/m3
2006,World,iron,max,0.524,kg/m3
2006,World,nfertil,max,0.8,kg/m3
2006,World,alcref,abs_min,0.0,kg/m3
2006,World,beer,abs_min,0.0,kg/m3
2006,World,fish,abs_min,0.0,kg/m3
2006,World,meat,abs_min,0.0,kg/m3
2006,World,plastics,abs_min,0.0,kg/m3
2006,World,starch,abs_min,0.0,kg/m3
2006,World,iron,abs_min,0.0,kg/m3
2006,World,nfertil,abs_min,0.0,kg/m3
2006,World,alcref,abs_max,inf,kg/m3
2006,World,beer,abs_max,inf,kg/m3
2006,World,fish,abs_max,inf,kg/m3
2006,World,meat,abs_max,inf,kg/m3
2006,World,plastics,abs_max,inf,kg/m3
2006,World,starch,abs_max,inf,kg/m3
2006,World,iron,abs_max,inf,kg/m3
2006,World,nfertil,abs_max,inf,kg/m3
