T,rho,c_p,mu,nu,k,alpha,Pr
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s, 
100,0.4871,5.193,96.3e-7,19.8e-6,73e-3,28.9e-6,0.686
120,0.406,5.193,107e-7,26.4e-6,81.9e-3,38.8e-6,0.679
140,0.3481,5.193,118e-7,33.9e-6,90.7e-3,50.2e-6,0.676
160,,5.193,129e-7,,99.2e-3,,
180,0.2708,5.193,139e-7,51.3e-6,107.2e-3,76.2e-6,0.673
200,,5.193,150e-7,,115.1e-3,,
220,0.2216,5.193,160e-7,72.2e-6,123.1e-3,107e-6,0.675
240,,5.193,170e-7,,130e-3,,
260,0.1875,5.193,180e-7,96e-6,137e-3,141e-6,0.682
280,,5.193,190e-7,,145e-3,,
300,0.1625,5.193,199e-7,122e-6,152e-3,180e-6,0.68
350,,5.193,221e-7,,170e-3,,
400,0.1219,5.193,243e-7,199e-6,187e-3,295e-6,0.675
450,,5.193,263e-7,,204e-3,,
500,0.09754,5.193,283e-7,290e-6,220e-3,434e-6,0.668
550,,5.193,,,,,
600,,5.193,320e-7,,252e-3,,
650,,5.193,332e-7,,264e-3,,
700,0.06969,5.193,350e-7,502e-6,278e-3,768e-6,0.654
750,,5.193,364e-7,,291e-3,,
800,,5.193,382e-7,,304e-3,,
900,,5.193,414e-7,,330e-3,,
1000,0.04879,5.193,446e-7,914e-6,354e-3,1400e-6,0.654
