T,rho,c_p,mu,nu,k,alpha,Pr
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s,
280,1.9022,0.83,140e-7,7.36e-6,15.2e-3,9.63e-6,0.765
300,1.773,0.851,149e-7,8.4e-6,16.55e-3,11e-6,0.766
320,1.6609,0.872,156e-7,9.39e-6,18.05e-3,12.5e-6,0.754
340,1.5618,0.891,165e-7,10.6e-6,19.7e-3,14.2e-6,0.746
360,1.4743,0.908,173e-7,11.7e-6,21.2e-3,15.8e-6,0.741
380,1.3961,0.926,181e-7,13e-6,22.75e-3,17.6e-6,0.737
400,1.3257,0.942,190e-7,14.3e-6,24.3e-3,19.5e-6,0.737
450,1.1782,0.981,210e-7,17.8e-6,28.3e-3,24.5e-6,0.728
500,1.0594,1.02,231e-7,21.8e-6,32.5e-3,30.1e-6,0.725
550,0.9625,1.05,251e-7,26.1e-6,36.6e-3,36.2e-6,0.721
600,0.8826,1.08,270e-7,30.6e-6,40.7e-3,42.7e-6,0.717
650,0.8143,1.1,288e-7,35.4e-6,44.5e-3,49.7e-6,0.712
700,0.7564,1.13,305e-7,40.3e-6,48.1e-3,56.3e-6,0.717
750,0.7057,1.15,321e-7,45.5e-6,51.7e-3,63.7e-6,0.714
800,0.6614,1.17,337e-7,51e-6,55.1e-3,71.2e-6,0.716
