code,description
dummy,placeholder for empty tables
calcite,calcite or aragonite - CaCO3
magnesite,magnesite - MgCO3
dolomite,dolomite - CaMg(CO3)2
siderite,siderite - FeCO3
ankerite,ankerite - Ca(Fe-Mg-Mn)(C03)2
rhodochrosite,rhodochrosite - MnCO3
sodium-carbonate,sodium carbonate or soda ash - Na2CO3
