code,description
coal,coal as reducing agent
coke,coke as reducing agent
prebaked_electrodes,prebaked electrodes as reducing agent
electrode_paste,electrode paste as reducing agent
petroleum_coke,petroleum coke as reducing agent
dummy,place holder for empty data tables
