code,description
ferrosilicon_45perc_si,Ferrosilicon 45% Si
ferrosilicon_65perc_si,Ferrosilicon 65 % Si
ferrosilicon_75perc_si,Ferrosillicon 75% Si
ferrosilicon_90perc_si,Ferrosillicon 90% Si
ferromanganese_7perc_c,Ferromanganeses (7% C)
ferromanganese_1perc_c,Ferromanganeses (1% C)
siliconmanganese,Silicomanganese
silicon_metal,Silicon metal
ferrochromium,Ferrochromium
dummy,place holder for empty data tables
