code,description
septic-tank,septic-tank wastewater treatment or discharge pathway
latrine,latrine wastewater treatment or discharge pathway
other,other wastewater treatment or discharge pathway
sewer,sewer wastewater treatment or discharge pathway
none,no wastewater treatment
dummy,place holder for empty tables
