cat4,cat3,cat2,cat1,cat0
liquid-slurry-naturalcover,liquid-slurry,,,
liquid-slurry-nocover,liquid-slurry,,,
liquid-slurry-cover,liquid-slurry,,,
solid-storage-covered,solid-storage,,,
solid-storage-bulking,solid-storage,,,
solid-storage-additive,solid-storage,,,
digester-lowleak-highgastight-besttech,digester,,,
digester-lowleak-lowgastight-hightech,digester,,,
digester-lowleak-openstorage-hightech,digester,,,
digester-highleak-highgastight-lowtech,digester,,,
digester-highleak-lowgastight-lowtech,digester,,,
digester-highleak-openstorage-lowtech,digester,,,
bedding-long,bedding,,,
bedding-short,bedding,,,
bedding-mixing,bedding,,,
