code,description,nace_rev2_code,nace_rev2_description
alcref,industrial wastewater alcohol refining,,
beer,industrial wastewater beer and malt,,
coffee,industrial wastewater coffee production,,
dairy,industrial wastewater dairy products,,
fish,industrial wastewater fish processing,,
meat,industrial wastewater meat and poultry,,
orgchem,industrial wastewater organic chemicals,,
petref,industrial wastewater petroleum refineries,,
plastics,industrial wastewater plastics and resins,,
pulp,industrial wastewater pulp and paper (combined),,
soap,industrial wastewater soap and detergents,,
starch,industrial wastewater starch production,,
sugar,industrial wastewater sugar refining,,
vegoils,industrial wastewater vegetable oils,,
fruits,"industrial wastewater vegetables, fruits and juices",,
wine,industrial wastewater wine and vinegar,,
iron,industrial wastewater iron and steel manufacturing,,
nfertil,industrial wastewater nitrogen fertiliser,,
dummy,place holder for emtpy tables,,
