code,description,remarks
msw_garden,garden and park waste fraction of MSW,"volume 5: waste, chapter 2"
msw_food,food waste fraction of MSW,"volume 5: waste, chapter 2"
msw_metal,metal waste fraction of MSW,"volume 5: waste, chapter 2"
msw_glass,glass waste fraction of MSW,"volume 5: waste, chapter 2"
msw_nappies,nappies waste fraction of MSW,"volume 5: waste, chapter 2"
msw_other,other inert waste fraction of MSW,"volume 5: waste, chapter 2"
msw_paper,paper and cardboard waste fraction of MSW,"volume 5: waste, chapter 2"
msw_plastics,plastics waste fraction of MSW,"volume 5: waste, chapter 2"
msw_rubber,rubber and leather waste fraction of MSW,"volume 5: waste, chapter 2"
msw_textiles,textiles waste fraction of MSW,"volume 5: waste, chapter 2"
msw_wood,woodwaste fraction of MSW,"volume 5: waste, chapter 2"
