code,description
dummy,placeholder for empty tables
portland,100 percent portland cement - 95-97 percent clinker
masonry,66.66 percent portland cement - 64 percent clinker
slagmod-portland,slag-modified portland - <25 perecent pc - >70-93 percent clinker
portland-bf-slag,<25 percent slag - 28-70 percent clinker
portland-pozzolan,15-40 percent pozzolan - 28-81 percent clinker
pozzolan-mod,<15 percent pozzolan - 28-95 percent clinker
slag-cement,70 percent slag - <28 percent clinker
