code,description
dummy,placeholder for empty data tables
charcoal,charcoal
bf_inject_coal,bf injection coal
steam_caol,steam coal (combustion coal)
coal_tar,coal tar
dolomite,dolomite / crude dolomite
eaf_carb_electrode,EAF carbon electrodes
eaf_coal,EAF coal
heayv_oil,heavy oil
light_oil,light oil
kerosene,kerosene
lpg,LPG
limestone,limestone
natural_gas,natural gas
