code,description
prebake_cwpb,centre prebake cell technology
prebake_swpb,slide worked prebake cell technology
prebake,prebake cell technology
soderberg_vss,vertical stud soderberg cell technology
soderberg_hss,horizontal soderberg cell technology
soderberg,soderberg cell technology
