# SOURMASH-MANIFEST-VERSION: 1.0
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
SRR606249.trim.k31.sig.gz,d45945d1ed5a86d9cdce9d7a98c9964a,d45945d1,21,DNA,0,1000,394812,1,SRR606249,outputs.paper/trim/SRR606249.trim.fq.gz
SRR606249.trim.k31.sig.gz,1b1b1d8e954aa9b36214fcaddf05c178,1b1b1d8e,31,DNA,0,1000,424915,1,SRR606249,outputs.paper/trim/SRR606249.trim.fq.gz
SRR606249.trim.k31.sig.gz,b1dd78e30015b18c2a106d3d280d32b1,b1dd78e3,51,DNA,0,1000,441793,1,SRR606249,outputs.paper/trim/SRR606249.trim.fq.gz
