year,region,industry_type,property,value,unit
2006,World,alcref,def,11.0,kg/m3
2006,World,beer,def,2.9,kg/m3
2006,World,coffee,def,9.0,kg/m3
2006,World,dairy,def,2.7,kg/m3
2006,World,fish,def,2.5,kg/m3
2006,World,meat,def,4.1,kg/m3
2006,World,orgchem,def,3.0,kg/m3
2006,World,petref,def,1.0,kg/m3
2006,World,plastics,def,3.7,kg/m3
2006,World,pulp,def,9.0,kg/m3
2006,World,soap,def,0.8,kg/m3
2006,World,starch,def,10.0,kg/m3
2006,World,sugar,def,3.2,kg/m3
2006,World,vegoils,def,0.8,kg/m3
2006,World,fruits,def,5.0,kg/m3
2006,World,wine,def,1.5,kg/m3
2006,World,alcref,min,5.0,kg/m3
2006,World,beer,min,2.0,kg/m3
2006,World,coffee,min,3.0,kg/m3
2006,World,dairy,min,1.5,kg/m3
2006,World,fish,min,2.5,kg/m3
2006,World,meat,min,2.0,kg/m3
2006,World,orgchem,min,0.8,kg/m3
2006,World,petref,min,0.4,kg/m3
2006,World,plastics,min,0.8,kg/m3
2006,World,pulp,min,1.0,kg/m3
2006,World,soap,min,0.5,kg/m3
2006,World,starch,min,1.5,kg/m3
2006,World,sugar,min,1.0,kg/m3
2006,World,vegoils,min,0.5,kg/m3
2006,World,fruits,min,2.0,kg/m3
2006,World,wine,min,0.7,kg/m3
2006,World,alcref,max,22.0,kg/m3
2006,World,beer,max,7.0,kg/m3
2006,World,coffee,max,15.0,kg/m3
2006,World,dairy,max,5.2,kg/m3
2006,World,fish,max,2.5,kg/m3
2006,World,meat,max,7.0,kg/m3
2006,World,orgchem,max,5.0,kg/m3
2006,World,petref,max,1.6,kg/m3
2006,World,plastics,max,5.0,kg/m3
2006,World,pulp,max,15.0,kg/m3
2006,World,soap,max,1.2,kg/m3
2006,World,starch,max,42.0,kg/m3
2006,World,sugar,max,6.0,kg/m3
2006,World,vegoils,max,1.2,kg/m3
2006,World,fruits,max,10.0,kg/m3
2006,World,wine,max,3.0,kg/m3
2006,World,alcref,abs_min,0.0,kg/m3
2006,World,beer,abs_min,0.0,kg/m3
2006,World,coffee,abs_min,0.0,kg/m3
2006,World,dairy,abs_min,0.0,kg/m3
2006,World,fish,abs_min,0.0,kg/m3
2006,World,meat,abs_min,0.0,kg/m3
2006,World,orgchem,abs_min,0.0,kg/m3
2006,World,petref,abs_min,0.0,kg/m3
2006,World,plastics,abs_min,0.0,kg/m3
2006,World,pulp,abs_min,0.0,kg/m3
2006,World,soap,abs_min,0.0,kg/m3
2006,World,starch,abs_min,0.0,kg/m3
2006,World,sugar,abs_min,0.0,kg/m3
2006,World,vegoils,abs_min,0.0,kg/m3
2006,World,fruits,abs_min,0.0,kg/m3
2006,World,wine,abs_min,0.0,kg/m3
2006,World,alcref,abs_max,inf,kg/m3
2006,World,beer,abs_max,inf,kg/m3
2006,World,coffee,abs_max,inf,kg/m3
2006,World,dairy,abs_max,inf,kg/m3
2006,World,fish,abs_max,inf,kg/m3
2006,World,meat,abs_max,inf,kg/m3
2006,World,orgchem,abs_max,inf,kg/m3
2006,World,petref,abs_max,inf,kg/m3
2006,World,plastics,abs_max,inf,kg/m3
2006,World,pulp,abs_max,inf,kg/m3
2006,World,soap,abs_max,inf,kg/m3
2006,World,starch,abs_max,inf,kg/m3
2006,World,sugar,abs_max,inf,kg/m3
2006,World,vegoils,abs_max,inf,kg/m3
2006,World,fruits,abs_max,inf,kg/m3
2006,World,wine,abs_max,inf,kg/m3
