alias,sensor_id,created_at,address_id
Casa em General Sampaio,31f820c2-9729-11ec-882e-a463a116a9e2,2022-10-22 17:33:01.129591,cd273f29-436e-11ee-908b-0c379605f3f9
Apt em Fortaleza,a32ab0af-970c-11ec-9779-a463a116a9e2,2022-10-22 17:33:01.129591,cd273f28-436e-11ee-8ca3-0c379605f3f9
Casa da Cris,31f30d16-9729-11ec-ad33-a463a116a9e2,2022-10-22 17:33:01.129591,cd273f26-436e-11ee-aa10-0c379605f3f9
Aurean,3ab71ee5-1db0-11ee-9548-089798649659,2023-07-08 13:59:01.129591,cd273f27-436e-11ee-a0a8-0c379605f3f9
