code,description
crop_unsp,generic crop category
grain_generic,generic grains
wheat_winter,winter wheat
wheat_spring,spring wheat
barley,barley
oat,oats
maize,maize
rye,rye
rice,rice
millet,millet
sorghum,sorghum
bean,beans and pulses
soybean,soybeans
potato,potatoes and tubers
peanut,peanuts
alfalfa,alfalfa
hay_non-legume,non-legume hay
forage_n-fixing,n-fixing forages
forage_non-n-fixing,non-n-fixing forages
grass_perennial,perennial grasses
grass-clover,grass-clover mixtures (grass dominating 2 over 1)
dummy,dummy place holder category
