code,description,nace_rev2_code,nace_rev2_description
compost,composting,38.21,Treatment and disposal of non-hazerdoues waste
anaer_digest,anaerobic digestion at biogas facilities,38.21,Treatment and disposal of non-hazerdoues waste
dummy,place holder for empty tables,,
