code,description
dummy,placeholder for empty data tables
dri_gas,direct reduced iron (gas-based)
dri_coal,direct reduced coal (coal-based)
hot_briquetted_iron,hot briquetted iron
pig_iron,purchased pig iron
scrap_iron,scrap iron
steel_scrap,steel scrap
steel,steel
