# name: Table A-28
# caption: Properties of some common fuels and hydrocarbons
# notes: Source of Data: Gordon J. Van Wylen and Richard E. Sonntag, Fundamentals of Classical Thermodynamics, English/SI Version, 3rd ed. (New York: John Wiley & Sons, 1986), p. 723, table A.14. Based on thermodynamic data given in JANAF, Thermochemical Tables (Midland, MI: Thermal Research Laboratory, The Dow Chemical Company, 1971).
# source: Cengel and Boles 8th Edition
# delimiter: ,
# interpolate: True
#-name----------------------------------------------------
reaction,T,ln_Kp,Kp
1/2N2+1/2O2<->NO,1600,-5.294,0.005021633499009254
1/2N2+1/2O2<->NO,1800,-4.536,0.010716185680953061
1/2N2+1/2O2<->NO,2000,-3.931,0.019624038699075377
1/2N2+1/2O2<->NO,2200,-3.433,0.03228992554618981
1/2N2+1/2O2<->NO,2400,-3.019,0.04885004398911972
1/2N2+1/2O2<->NO,2600,-2.671,0.06918300769861015
1/2N2+1/2O2<->NO,2800,-2.372,0.09329395166237625
1/2N2+1/2O2<->NO,3000,-2.114,0.12075398317946681
1/2N2+1/2O2<->NO,3200,-1.888,0.15137425479919112
1/2N2+1/2O2<->NO,3400,-1.690,0.18451952399298926
1/2N2+1/2O2<->NO,3600,-1.513,0.22024824112705113
1/2N2+1/2O2<->NO,3800,-1.356,0.25768947608804055
1/2N2+1/2O2<->NO,4000,-1.216,0.2964134525853191
1/2N2+1/2O2<->NO,4500,-0.921,0.39812072123654696
1/2N2+1/2O2<->NO,5000,-0.686,0.5035863913063714
1/2N2+1/2O2<->NO,5500,-0.497,0.6083529838111763
1/2N2+1/2O2<->NO,6000,-0.341,0.7110589082064097
