# name: Table A-28
# caption: Properties of some common fuels and hydrocarbons
# notes: Source of Data: Gordon J. Van Wylen and Richard E. Sonntag, Fundamentals of Classical Thermodynamics, English/SI Version, 3rd ed. (New York: John Wiley & Sons, 1986), p. 723, table A.14. Based on thermodynamic data given in JANAF, Thermochemical Tables (Midland, MI: Thermal Research Laboratory, The Dow Chemical Company, 1971).
# source: Cengel and Boles 8th Edition
# delimiter: ,
# interpolate: True
#-name----------------------------------------------------
reaction,T,ln_Kp,Kp
#-units---------------------------------------------------
None,K, , 
#---------------------------------------------------------
H2<->2H,298,-164.005 ,5.936541326777428e-72
H2<->2H,500,-92.827,4.8500490231092e-41
H2<->2H,1000,-39.803,5.173408077188934e-18
H2<->2H,1200,-30.874,3.904740398860008e-14
H2<->2H,1400,-24.463,2.376041868896323e-11
H2<->2H,1600,-19.637,2.9631883590225865e-09
H2<->2H,1800,-15.866,1.286719107314567e-07
H2<->2H,2000,-12.840,2.652521131114739e-06
H2<->2H,2200,-10.353,3.189695523205051e-05
H2<->2H,2400,-8.276,0.00025455337983957285
H2<->2H,2600,-6.517,0.001478096747808505
H2<->2H,2800,-5.002,0.006724484572001857
H2<->2H,3000,-3.685,0.025097174723414068
H2<->2H,3200,-2.534,0.07934102062806954
H2<->2H,3400,-1.516,0.21958848653038082
H2<->2H,3600,-0.609,0.5438944917095899
H2<->2H,3800,0.202,1.223848008111358
H2<->2H,4000,0.934,2.544667517463568
H2<->2H,4500,2.486,12.013127377646844
H2<->2H,5000,3.725,41.47123274483076
H2<->2H,5500,4.743,114.7780197544471
H2<->2H,6000,5.590,267.73561971364717
O2<->2O,298,-186.975 ,6.277536494114718e-82
O2<->2O,500,-105.630,1.3349772863348744e-46
O2<->2O,1000,-45.150,2.463792574943801e-20
O2<->2O,1200,-35.005,6.273669859113173e-16
O2<->2O,1400,-27.742,8.949576465912278e-13
O2<->2O,1600,-22.285,2.0977197678065345e-10
O2<->2O,1800,-18.030,1.4779865819290602e-08
O2<->2O,2000,-14.622,4.464225106800797e-07
O2<->2O,2200,-11.827,7.3046458093105044e-06
O2<->2O,2400,-9.497,7.507672254768421e-05
O2<->2O,2600,-7.521,0.0005415907042557134
O2<->2O,2800,-5.826,0.00294985282413114
O2<->2O,3000,-4.357,0.01281678037277469
O2<->2O,3200,-3.072,0.046328405328162174
O2<->2O,3400,-1.935,0.14442426882354198
O2<->2O,3600,-0.926,0.39613508585555535
O2<->2O,3800,-0.019,0.981179362242806
O2<->2O,4000,0.796,2.2166565453905425
O2<->2O,4500,2.513,12.341900278290954
O2<->2O,5000,3.895,49.15605336268389
O2<->2O,5500,5.023,151.86621973816412
O2<->2O,6000,5.963,388.7747006016104
N2<->2N,298,-367.480,2.5436877013708794e-160
N2<->2N,500,-213.372,2.1563428213340725e-93
N2<->2N,1000,-99.127,8.906168189959833e-44
N2<->2N,1200,-80.011,1.785106816810505e-35
N2<->2N,1400,-66.329,1.562001008130491e-29
N2<->2N,1600,-56.055,4.525044108554097e-25
N2<->2N,1800,-48.051,1.3543030298376189e-21
N2<->2N,2000,-41.645,8.199857424696101e-19
N2<->2N,2200,-36.391,1.568879213856842e-16
N2<->2N,2400,-32.011,1.2525623108444471e-14
N2<->2N,2600,-28.304,5.101865253892966e-13
N2<->2N,2800,-25.117,1.235450922575662e-11
N2<->2N,3000,-22.359,1.948092969973243e-10
N2<->2N,3200,-19.937,2.1951839276758903e-09
N2<->2N,3400,-17.800,1.860193926691551e-08
N2<->2N,3600,-15.898,1.2461959247212276e-07
N2<->2N,3800,-14.199,6.814792730445935e-07
N2<->2N,4000,-12.660,3.1756443542180685e-06
N2<->2N,4500,-9.414,8.15739978968351e-05
N2<->2N,5000,-6.807,0.0011060059457414667
N2<->2N,5500,-4.666,0.00940983368334122
N2<->2N,6000,-2.865,0.056983131132034036
H2O<->H2+1/2O2,298,-92.208,9.006880747697554e-41
H2O<->H2+1/2O2,500,-52.691,1.3079449158229984e-23
H2O<->H2+1/2O2,1000,-23.163,8.718402511665085e-11
H2O<->H2+1/2O2,1200,-18.182,1.2695731529696962e-08
H2O<->H2+1/2O2,1400,-14.609,4.5226389001876144e-07
H2O<->H2+1/2O2,1600,-11.921,6.649293164489612e-06
H2O<->H2+1/2O2,1800,-9.826,5.4028439101698604e-05
H2O<->H2+1/2O2,2000,-8.145,0.00029018265164118626
H2O<->H2+1/2O2,2200,-6.768,0.0011499923371235557
H2O<->H2+1/2O2,2400,-5.619,0.003628267562999535
H2O<->H2+1/2O2,2600,-4.648,0.009580744270363638
H2O<->H2+1/2O2,2800,-3.812,0.022103926865965014
H2O<->H2+1/2O2,3000,-3.086,0.04568432672371522
H2O<->H2+1/2O2,3200,-2.451,0.08620733604528572
H2O<->H2+1/2O2,3400,-1.891,0.15092081253826656
H2O<->H2+1/2O2,3600,-1.392,0.24857765184107972
H2O<->H2+1/2O2,3800,-0.945,0.38867957090175304
H2O<->H2+1/2O2,4000,-0.542,0.5815839205891371
H2O<->H2+1/2O2,4500,0.312,1.36615469302948
H2O<->H2+1/2O2,5000,0.996,2.7074304184338023
H2O<->H2+1/2O2,5500,1.560,4.758821245137854
H2O<->H2+1/2O2,6000,2.032,7.629329769827446
H2O<->1/2H2+OH,298,-106.208,7.489480011251533e-47
H2O<->1/2H2+OH,500,-60.281,6.611413745773288e-27
H2O<->1/2H2+OH,1000,-26.034,4.938299869182149e-12
H2O<->1/2H2+OH,1200,-20.283,1.5531200403261878e-09
H2O<->1/2H2+OH,1400,-16.099,1.019279138981249e-07
H2O<->1/2H2+OH,1600,-13.066,2.1159641213409353e-06
H2O<->1/2H2+OH,1800,-10.657,2.3535515024656502e-05
H2O<->1/2H2+OH,2000,-8.728,0.0001619861046785261
H2O<->1/2H2+OH,2200,-7.148,0.0007864353802487256
H2O<->1/2H2+OH,2400,-5.832,0.002932206698501586
H2O<->1/2H2+OH,2600,-4.719,0.008924098186063496
H2O<->1/2H2+OH,2800,-3.763,0.023213993825905707
H2O<->1/2H2+OH,3000,-2.937,0.05302456405841906
H2O<->1/2H2+OH,3200,-2.212,0.10948146647358296
H2O<->1/2H2+OH,3400,-1.576,0.20680064859775515
H2O<->1/2H2+OH,3600,-1.088,0.33688959957564707
H2O<->1/2H2+OH,3800,-0.501,0.6059244322171875
H2O<->1/2H2+OH,4000,-0.044,0.9569539574730467
H2O<->1/2H2+OH,4500,0.920,2.509290389936298
H2O<->1/2H2+OH,5000,1.689,5.414063933263407
H2O<->1/2H2+OH,5500,2.318,10.155343295249017
H2O<->1/2H2+OH,6000,2.843,17.167189931780978
CO2<->CO+1/2O2,298,-103.762,8.644422175329397e-46
CO2<->CO+1/2O2,500,-57.616,9.499245912697992e-26
CO2<->CO+1/2O2,1000,-23.529,6.046236563913908e-11
CO2<->CO+1/2O2,1200,-17.871,1.732699754680371e-08
CO2<->CO+1/2O2,1400,-13.842,9.738583257426677e-07
CO2<->CO+1/2O2,1600,-10.830,1.9796606971979363e-05
CO2<->CO+1/2O2,1800,-8.497,0.00020407969064163145
CO2<->CO+1/2O2,2000,-6.635,0.0013135787451599226
CO2<->CO+1/2O2,2200,-5.120,0.005976022895005943
CO2<->CO+1/2O2,2400,-3.860,0.021067999523041434
CO2<->CO+1/2O2,2600,-2.801,0.060749282957491574
CO2<->CO+1/2O2,2800,-1.894,0.1504687285656736
CO2<->CO+1/2O2,3000,-1.111,0.32922956683868165
CO2<->CO+1/2O2,3200,-0.429,0.6511599291810325
CO2<->CO+1/2O2,3400,0.169,1.1841201389239695
CO2<->CO+1/2O2,3600,0.701,2.01576746739001
CO2<->CO+1/2O2,3800,1.176,3.241382706393096
CO2<->CO+1/2O2,4000,1.599,4.9480818676616325
CO2<->CO+1/2O2,4500,0.490,1.632316219955379
CO2<->CO+1/2O2,5000,3.197,24.459042892590272
CO2<->CO+1/2O2,5500,3.771,43.4234665979517
CO2<->CO+1/2O2,6000,4.245,69.75576014390317
1/2N2+1/2O2<->NO,298,-35.052,5.985629349222455e-16
1/2N2+1/2O2<->NO,500,-20.295,1.5345939785252864e-09
1/2N2+1/2O2<->NO,1000,-9.388,8.372273437220829e-05
1/2N2+1/2O2<->NO,1200,-7.569,0.0005162083989932209
1/2N2+1/2O2<->NO,1400,-6.270,0.0018922285832099397
