T,rho,c_p,mu,nu,k,alpha,Pr
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s, 
100,3.5562,1.032,71.1e-7,2e-6,9.34e-3,2.54e-6,0.786
150,2.3364,1.012,103.4e-7,4.426e-6,13.8e-3,5.84e-6,0.758
200,1.7458,1.007,132.5e-7,7.59e-6,18.1e-3,10.3e-6,0.737
250,1.3947,1.006,159.6e-7,11.44e-6,22.3e-3,15.9e-6,0.72
300,1.1614,1.007,184.6e-7,15.89e-6,26.3e-3,22.5e-6,0.707
350,0.995,1.009,208.2e-7,20.92e-6,30e-3,29.9e-6,0.7
400,0.8711,1.014,230.1e-7,26.41e-6,33.8e-3,38.3e-6,0.69
450,0.774,1.021,250.7e-7,32.39e-6,37.3e-3,47.2e-6,0.686
500,0.6964,1.03,270.1e-7,38.79e-6,40.7e-3,56.7e-6,0.684
550,0.6329,1.04,288.4e-7,45.57e-6,43.9e-3,66.7e-6,0.683
600,0.5804,1.051,305.8e-7,52.69e-6,46.9e-3,76.9e-6,0.685
650,0.5356,1.063,322.5e-7,60.21e-6,49.7e-3,87.3e-6,0.69
700,0.4975,1.075,338.8e-7,68.1e-6,52.4e-3,98e-6,0.695
750,0.4643,1.087,354.6e-7,76.37e-6,54.9e-3,109e-6,0.702
800,0.4354,1.099,369.8e-7,84.93e-6,57.3e-3,120e-6,0.709
850,0.4097,1.11,384.3e-7,93.8e-6,59.6e-3,131e-6,0.716
900,0.3868,1.121,398.1e-7,102.9e-6,62e-3,143e-6,0.72
950,0.3666,1.131,411.3e-7,112.2e-6,64.3e-3,155e-6,0.723
1000,0.3482,1.141,424.4e-7,121.9e-6,66.7e-3,168e-6,0.726
1100,0.3166,1.159,449e-7,141.8e-6,71.5e-3,195e-6,0.728
1200,0.2902,1.175,473e-7,162.9e-6,76.3e-3,224e-6,0.728
1300,0.2679,1.189,496e-7,185.1e-6,82e-3,257e-6,0.719
1400,0.2488,1.207,530e-7,213e-6,91e-3,303e-6,0.703
1500,0.2322,1.23,557e-7,240e-6,100e-3,350e-6,0.685
1600,0.2177,1.248,584e-7,268e-6,106e-3,390e-6,0.688
1700,0.2049,1.267,611e-7,298e-6,113e-3,435e-6,0.685
1800,0.1935,1.286,637e-7,329e-6,120e-3,482e-6,0.683
1900,0.1833,1.307,663e-7,362e-6,128e-3,534e-6,0.677
2000,0.1741,1.337,689e-7,396e-6,137e-3,589e-6,0.672
2100,0.1658,1.372,715e-7,431e-6,147e-3,646e-6,0.667
2200,0.1582,1.417,740e-7,468e-6,160e-3,714e-6,0.655
2300,0.1513,1.478,766e-7,506e-6,175e-3,783e-6,0.647
2400,0.1448,1.558,792e-7,547e-6,196e-3,869e-6,0.63
2500,0.1389,1.665,818e-7,589e-6,222e-3,960e-6,0.613
3000,0.1135,2.726,955e-7,841e-6,486e-3,1570e-6,0.536
