T,rho,c_p,mu,nu,k,alpha,Pr,beta
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s, ,1/K
273,1130.8,2.294,6.51e-2,57.6e-6,242e-3,0.933,617,0.65e-3
280,1125.8,2.323,4.2e-2,37.3e-6,244e-3,0.933,400,0.65e-3
290,1118.8,2.368,2.47e-2,22.1e-6,248e-3,0.936,236,0.65e-3
300,1114.4,2.415,1.57e-2,14.1e-6,252e-3,0.939,151,0.65e-3
310,1103.7,2.46,1.07e-2,9.65e-6,255e-3,0.939,103,0.65e-3
320,1096.2,2.505,0.757e-2,6.91e-6,258e-3,0.94,73.5,0.65e-3
330,1089.5,2.549,0.561e-2,5.15e-6,260e-3,0.936,55,0.65e-3
340,1083.8,2.592,0.431e-2,3.98e-6,261e-3,0.929,42.8,0.65e-3
350,1079,2.637,0.342e-2,3.17e-6,261e-3,0.917,34.6,0.65e-3
360,1074,2.682,0.278e-2,2.59e-6,261e-3,0.906,28.6,0.65e-3
370,1066.7,2.728,0.228e-2,2.14e-6,262e-3,0.9,23.7,0.65e-3
373,1058.5,2.742,0.215e-2,2.03e-6,263e-3,0.906,22.4,0.65e-3
