T,rho,c_p,mu,nu,k,alpha,Pr
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s, 
300,0.6894,2.158,101.5e-7,14.7e-6,24.7e-3,16.6e-6,0.887
320,0.6448,2.17,109e-7,16.9e-6,27.2e-3,19.4e-6,0.87
340,0.6059,2.192,116.5e-7,19.2e-6,29.3e-3,22.1e-6,0.872
360,0.5716,2.221,124e-7,21.7e-6,31.6e-3,24.9e-6,0.872
380,0.541,2.254,131e-7,24.2e-6,34e-3,27.9e-6,0.869
400,0.5136,2.287,138e-7,26.9e-6,37e-3,31.5e-6,0.853
420,0.4888,2.322,145e-7,29.7e-6,40.4e-3,35.6e-6,0.833
440,0.4664,2.357,152.5e-7,32.7e-6,43.5e-3,39.6e-6,0.826
460,0.446,2.393,159e-7,35.7e-6,46.3e-3,43.4e-6,0.822
480,0.4273,2.43,166.5e-7,39e-6,49.2e-3,47.4e-6,0.822
500,0.4101,2.467,173e-7,42.2e-6,52.5e-3,51.9e-6,0.813
520,0.3942,2.504,180e-7,45.7e-6,54.5e-3,55.2e-6,0.827
540,0.3795,2.54,186.5e-7,49.1e-6,57.5e-3,59.7e-6,0.824
560,0.3708,2.577,193e-7,52e-6,60.6e-3,63.4e-6,0.827
580,0.3533,2.613,199.5e-7,56.5e-6,63.8e-3,69.1e-6,0.817
