T,rho,c_p,mu,nu,k,alpha,Pr
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s,
200,1.6888,1.045,127e-7,7.52e-6,17e-3,9.63e-6,0.781
220,1.5341,1.044,137e-7,8.93e-6,19e-3,11.9e-6,0.753
240,1.4055,1.043,147e-7,10.5e-6,20.6e-3,14.1e-6,0.744
260,1.2967,1.043,157e-7,12.1e-6,22.1e-3,16.3e-6,0.741
280,1.2038,1.042,166e-7,13.8e-6,23.6e-3,18.8e-6,0.733
300,1.1233,1.043,175e-7,15.6e-6,25e-3,21.3e-6,0.73
320,1.0529,1.043,184e-7,17.5e-6,26.3e-3,23.9e-6,0.73
340,0.9909,1.044,193e-7,19.5e-6,27.8e-3,26.9e-6,0.725
360,0.9357,1.045,202e-7,21.6e-6,29.1e-3,29.8e-6,0.725
380,0.8864,1.047,210e-7,23.7e-6,30.5e-3,32.9e-6,0.729
400,0.8421,1.049,218e-7,25.9e-6,31.8e-3,36e-6,0.719
450,0.7483,1.055,237e-7,31.7e-6,35e-3,44.3e-6,0.714
500,0.67352,1.065,254e-7,37.7e-6,38.1e-3,53.1e-6,0.71
550,0.61226,1.076,271e-7,44.3e-6,41.1e-3,62.4e-6,0.71
600,0.56126,1.088,286e-7,51e-6,44e-3,72.1e-6,0.707
650,0.51806,1.101,301e-7,58.1e-6,47e-3,82.4e-6,0.705
700,0.48102,1.114,315e-7,65.5e-6,50e-3,93.3e-6,0.702
750,0.44899,1.127,329e-7,73.3e-6,52.8e-3,104e-6,0.702
800,0.42095,1.14,343e-7,81.5e-6,55.5e-3,116e-6,0.705
