T,rho,c_p,mu,nu,k,alpha,Pr
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s,
100,3.4388,1.07,68.8e-7,2e-6,9.58e-3,2.6e-6,0.768
150,2.2594,1.05,100.6e-7,4.45e-6,13.9e-3,5.86e-6,0.759
200,1.6883,1.043,129.2e-7,7.65e-6,18.3e-3,10.4e-6,0.736
250,1.3488,1.042,154.9e-7,11.48e-6,22.2e-3,15.8e-6,0.727
300,1.1233,1.041,178.2e-7,15.86e-6,25.9e-3,22.1e-6,0.716
350,0.9625,1.042,200e-7,20.78e-6,29.3e-3,29.2e-6,0.711
400,0.8425,1.045,220.4e-7,26.16e-6,32.7e-3,37.1e-6,0.704
450,0.7485,1.05,239.6e-7,32.01e-6,35.8e-3,45.6e-6,0.703
500,0.6739,1.056,257.7e-7,38.24e-6,38.9e-3,54.7e-6,0.7
550,0.6124,1.065,274.7e-7,44.86e-6,41.7e-3,63.9e-6,0.702
600,0.5615,1.075,290.8e-7,51.79e-6,44.6e-3,73.9e-6,0.701
700,0.4812,1.098,321e-7,66.71e-6,49.9e-3,94.4e-6,0.706
800,0.4211,1.122,349.1e-7,82.9e-6,54.8e-3,116e-6,0.715
900,0.3743,1.146,375.3e-7,100.3e-6,59.7e-3,139e-6,0.721
1000,0.3368,1.167,399.9e-7,118.7e-6,64.7e-3,165e-6,0.721
1100,0.3062,1.187,423.2e-7,138.2e-6,70e-3,193e-6,0.718
1200,0.2807,1.204,445.3e-7,158.6e-6,75.8e-3,224e-6,0.707
1300,0.2591,1.219,466.2e-7,179.9e-6,81e-3,256e-6,0.701
