T,rho,c_p,mu,nu,k,alpha,Pr
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s,
100,0.24255,11.23,42.1e-7,17.4e-6,67e-3,24.6e-6,0.707
150,0.16156,12.6,56e-7,34.7e-6,101e-3,49.6e-6,0.699
200,0.12115,13.54,68.1e-7,56.2e-6,131e-3,79.9e-6,0.704
250,0.09693,14.06,78.9e-7,81.4e-6,157e-3,115e-6,0.707
300,0.08078,14.31,89.6e-7,111e-6,183e-3,158e-6,0.701
350,0.06924,14.43,98.8e-7,143e-6,204e-3,204e-6,0.7
400,0.06059,14.48,108.2e-7,179e-6,226e-3,258e-6,0.695
450,0.05386,14.5,117.2e-7,218e-6,247e-3,316e-6,0.689
500,0.04848,14.52,126.4e-7,261e-6,266e-3,378e-6,0.691
550,0.04407,14.53,134.3e-7,305e-6,285e-3,445e-6,0.685
600,0.0404,14.55,142.4e-7,352e-6,305e-3,519e-6,0.678
700,0.03463,14.61,157.8e-7,456e-6,342e-3,676e-6,0.675
800,0.0303,14.7,172.4e-7,569e-6,378e-3,849e-6,0.67
900,0.02694,14.83,186.5e-7,692e-6,412e-3,1030e-6,0.671
1000,0.02424,14.99,201.3e-7,830e-6,448e-3,1230e-6,0.673
1100,0.02204,15.17,213e-7,966e-6,488e-3,1460e-6,0.662
1200,0.0202,15.37,226.2e-7,1120e-6,528e-3,1700e-6,0.659
1300,0.01865,15.59,238.5e-7,1279e-6,568e-3,1955e-6,0.655
1400,0.01732,15.81,250.7e-7,1447e-6,610e-3,2230e-6,0.65
1500,0.01616,16.02,262.7e-7,1626e-6,655e-3,2530e-6,0.643
1600,0.0152,16.28,273.7e-7,1801e-6,697e-3,2815e-6,0.639
1700,0.0143,16.58,284.9e-7,1992e-6,742e-3,3130e-6,0.637
1800,0.0135,16.96,296.1e-7,2193e-6,786e-3,3435e-6,0.639
1900,0.0128,17.49,307.2e-7,2400e-6,835e-3,3730e-6,0.643
2000,0.0121,18.25,318.2e-7,2630e-6,878e-3,3975e-6,0.661
