T,rho,c_p,mu,nu,k,alpha,Pr,beta
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s, ,1/K
273,1276,2.261,1060e-2,8310e-6,282e-3,0.977,85000,0.47e-3
280,1271.9,2.298,534e-2,4200e-6,284e-3,0.972,43200,0.47e-3
290,1265.8,2.367,185e-2,1460e-6,286e-3,0.955,15300,0.48e-3
300,1259.9,2.427,79.9e-2,634e-6,286e-3,0.935,6780,0.48e-3
310,1253.9,2.49,35.2e-2,281e-6,286e-3,0.916,3060,0.49e-3
320,1247.2,2.564,21e-2,168e-6,287e-3,0.897,1870,0.5e-3
