year,region,industry_type,property,value,unit
2006,World,alcref,def,24.0,m3/t
2006,World,beer,def,6.3,m3/t
2006,World,dairy,def,7.0,m3/t
2006,World,fish,def,14.0,m3/t
2006,World,meat,def,13.0,m3/t
2006,World,orgchem,def,67.0,m3/t
2006,World,petref,def,0.6,m3/t
2006,World,plastics,def,0.6,m3/t
2006,World,pulp,def,162.0,m3/t
2006,World,soap,def,3.0,m3/t
2006,World,starch,def,9.0,m3/t
2006,World,sugar,def,9.0,m3/t
2006,World,vegoils,def,3.1,m3/t
2006,World,fruits,def,20.0,m3/t
2006,World,wine,def,23.0,m3/t
2006,World,iron,def,5.0,m3/t
2006,World,nfertil,def,2.89,m3/t
2006,World,alcref,min,16.0,m3/t
2006,World,beer,min,5.0,m3/t
2006,World,dairy,min,3.0,m3/t
2006,World,fish,min,8.0,m3/t
2006,World,meat,min,8.0,m3/t
2006,World,orgchem,min,0.0,m3/t
2006,World,petref,min,0.3,m3/t
2006,World,plastics,min,0.3,m3/t
2006,World,pulp,min,85.0,m3/t
2006,World,soap,min,1.0,m3/t
2006,World,starch,min,4.0,m3/t
2006,World,sugar,min,4.0,m3/t
2006,World,vegoils,min,1.0,m3/t
2006,World,fruits,min,7.0,m3/t
2006,World,wine,min,11.0,m3/t
2006,World,iron,min,0.004,m3/t
2006,World,nfertil,min,0.46,m3/t
2006,World,alcref,max,32.0,m3/t
2006,World,beer,max,9.0,m3/t
2006,World,dairy,max,10.0,m3/t
2006,World,fish,max,18.0,m3/t
2006,World,meat,max,18.0,m3/t
2006,World,orgchem,max,400.0,m3/t
2006,World,petref,max,1.2,m3/t
2006,World,plastics,max,1.2,m3/t
2006,World,pulp,max,240.0,m3/t
2006,World,soap,max,5.0,m3/t
2006,World,starch,max,18.0,m3/t
2006,World,sugar,max,18.0,m3/t
2006,World,vegoils,max,5.0,m3/t
2006,World,fruits,max,35.0,m3/t
2006,World,wine,max,46.0,m3/t
2006,World,iron,max,10.4,m3/t
2006,World,nfertil,max,8.3,m3/t
2006,World,alcref,abs_min,0.0,m3/t
2006,World,beer,abs_min,0.0,m3/t
2006,World,dairy,abs_min,0.0,m3/t
2006,World,fish,abs_min,0.0,m3/t
2006,World,meat,abs_min,0.0,m3/t
2006,World,orgchem,abs_min,0.0,m3/t
2006,World,petref,abs_min,0.0,m3/t
2006,World,plastics,abs_min,0.0,m3/t
2006,World,pulp,abs_min,0.0,m3/t
2006,World,soap,abs_min,0.0,m3/t
2006,World,starch,abs_min,0.0,m3/t
2006,World,sugar,abs_min,0.0,m3/t
2006,World,vegoils,abs_min,0.0,m3/t
2006,World,fruits,abs_min,0.0,m3/t
2006,World,wine,abs_min,0.0,m3/t
2006,World,iron,abs_min,0.0,m3/t
2006,World,nfertil,abs_min,0.0,m3/t
2006,World,alcref,abs_max,inf,m3/t
2006,World,beer,abs_max,inf,m3/t
2006,World,dairy,abs_max,inf,m3/t
2006,World,fish,abs_max,inf,m3/t
2006,World,meat,abs_max,inf,m3/t
2006,World,orgchem,abs_max,inf,m3/t
2006,World,petref,abs_max,inf,m3/t
2006,World,plastics,abs_max,inf,m3/t
2006,World,pulp,abs_max,inf,m3/t
2006,World,soap,abs_max,inf,m3/t
2006,World,starch,abs_max,inf,m3/t
2006,World,sugar,abs_max,inf,m3/t
2006,World,vegoils,abs_max,inf,m3/t
2006,World,fruits,abs_max,inf,m3/t
2006,World,wine,abs_max,inf,m3/t
2006,World,iron,abs_max,inf,m3/t
2006,World,nfertil,abs_max,inf,m3/t
