generation_id,date,power
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-14,14
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-15,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-16,11
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-17,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-18,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-19,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-20,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-21,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-22,6
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-23,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-24,6
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-25,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-26,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-27,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-28,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-29,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-30,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-10-31,11
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-01,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-02,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-03,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-04,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-05,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-06,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-07,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-08,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-09,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-10,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-11,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-12,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-13,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-14,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-15,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-16,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-17,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-18,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-19,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-20,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-21,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-22,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-23,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-24,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-25,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-26,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-27,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-28,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-29,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-11-30,6
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-01,6
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-02,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-03,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-04,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-05,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-06,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-07,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-08,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-09,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-10,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-11,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-12,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-13,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-14,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-15,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-16,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-17,5
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-18,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-19,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-20,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-21,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-22,2
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-23,5
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-24,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-25,6
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-26,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-27,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-28,12
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-29,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-30,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2022-12-31,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-01,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-02,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-03,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-04,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-05,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-06,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-07,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-08,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-09,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-10,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-11,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-12,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-13,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-14,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-15,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-16,3
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-17,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-18,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-19,5
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-20,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-21,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-22,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-23,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-24,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-25,5
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-26,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-27,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-28,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-29,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-30,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-01-31,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-01,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-02,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-03,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-04,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-05,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-06,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-07,6
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-08,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-09,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-10,7
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-11,8
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-12,2
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-13,10
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-14,15
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-15,15
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-16,9
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-17,16
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-18,18
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-19,12
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-20,14
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-21,22
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-22,13
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-23,18
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-24,14
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-25,12
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-26,16
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-27,18
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-02-28,21
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-01,21
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-02,18
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-03,12
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-04,17
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-05,19
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-06,18
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-07,21
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-08,17
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-09,17
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-10,20
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-11,16
a69219d3-c50b-475c-b55f-71f94e49ee50,2023-03-12,17
